pred,gold_label,word,sentence_1,sentence_2
T,T,nonproliferation,nuclear disarmament and nonproliferation are closely related goals,they protested that the nonproliferation treaty was just a plot to maintain the hegemony of those who already had nuclear weapons
T,T,roughness,the roughness of her voice was a signal to keep quiet,men associate the roughness of nonstandard working - class speech with masculinity
F,F,room,room for improvement,the rooms were very small but they had a nice view
T,F,efflux,We all age through the efflux of time .,The efflux of matter from a boil can be painful .
F,F,puff,puff a cigar,he huffed and puffed as he made his way up the mountain
T,T,head,head the fish,The salmon are first headed and then scaled .
F,F,joke,I regarded his campaign for mayor as a joke,he told a very funny joke
F,F,perceive,I could perceive the ship coming over the horizon,She finally perceived the futility of her protest
F,F,approval,he bought it on approval,"although she fussed at them , she secretly viewed all her children with approval"
T,T,asthmatic,the painful gasps of a dying asthmatic,she is a chronic asthmatic
T,F,recognition,experimental psychologists measure the elapsed time from the onset of the stimulus to its recognition by the observer,a politician whose recall of names was as remarkable as his recognition of faces
F,F,acknowledge,it is important to acknowledge the work of others in one 's own writing,The Crown Prince was acknowledged as the true heir to the throne
F,F,iceberg,iceberg is still the most popular lettuce,The Titanic hit an iceberg and sank .
F,F,focus,the controversy brought clearly into focus an important difference of opinion,I believe I can bring the high degree of focus required for this important job .
T,T,agree,All parties agree in the expediency of the law .,They agreed about what to do .
T,T,belt,belt your trousers,"The rotund man had difficulty belting his pants , and generally wore suspenders to avoid the issue ."
F,F,pass,"He attempted the examination , but did not expect to pass .",The sports car passed all the trucks
T,F,push,Some details got lost in the push to get the project done .,the army made a push toward the sea
F,F,stay,"Some of her friends decided it was time to go home , but she wanted to stay on until sunrise .",To stay a flat sheet in a steam boiler
T,T,dereliction,The new soldier did not clean his cabin and was scolded for dereliction and disobedience .,What he did was a terrible dereliction of duty .
T,T,predecease,Husbands usually predecease their wives .,She predeceased her husband
T,T,attest,When will the appraiser attest the date of the painting ?,I attest this signature
T,F,matter,What 's the matter ? ;   state matters,several matters to attend to
F,F,plus,He is a real plus to the team .,A water molecule is made up of two hydrogen atoms plus one of oxygen .
F,F,cook,My husband does n't cook,The apothecary cooked the medicinal mixture in a big iron kettle
T,T,radiate,This plants radiate spines in all directions,spokes radiate from the hub of the wheel
T,T,garden,Our garden is overgrown with weeds .,"This house has a swimming pool , a tent , a swing set and a fountain in the garden ."
T,T,entrance,Her entrance attracted no attention whatsoever .,she made a grand entrance
F,F,adjoin,The living room and dining room adjoin each other .,I adjoin a copy of your my lawyer 's letter
F,T,eclat,the eclat of a great achievement,they gave him more eclat than he really deserved
T,T,kind,This is a strange kind of tobacco .,what kinds of desserts are there ?
F,F,bail,he is out on bail,"the judge set bail at $ 10,000"
T,T,land,the land had never been plowed,Wet land ; good or bad land for growing potatoes
F,F,patient,The subject of a passive verb is usually a patient .,the number of emergency patients has grown rapidly
T,F,satellite,A spent upper stage is a derelict satellite .,The Moon is a natural satellite of the Earth .
F,F,bump,bump and grind,My car bumped into the tree
F,F,deify,These young men deify financial success,the people deified their King
T,T,patent,Should I patent this invention ?,I patented my idea .
F,F,stop,it came to a stop at the bottom of the hill,the third baseman made some remarkable stops
T,T,appropriation,a person 's appropriation of property belonging to another is dishonest,the necessary funds were obtained by the government 's appropriation of the company 's operating unit
F,F,knot,the bird had a knot of feathers forming a crest,their muscles stood out in knots
T,F,kilter,in good kilter,Out of kilter .
T,T,squeamishness,the program was withdrawn because of the squeamishness of some viewers,he refused to allow squeamishness to deter him from his duty
T,T,smokescreen,All that talk is just a smokescreen to disguise the fact that he has nothing to say .,requesting new powers of surveillance is just a smokescreen to hide their failures
F,F,back,the fall broke his back,The titles are printed on the backs of the books .
T,F,pedal,The pedal of a loom,"There are three pedals on manual cars , two on automatics ."
T,T,signal,the victory was a signal for wild celebration,he awaited the signal to start
T,T,match,"Their interests did n't match , so it took a long time to agree what to do together .","These two copies are supposed to be identical , but they do n't match ."
F,F,term,a healthy baby born at full term,he learned many medical terms
T,T,tune,To tune a piano or a violin,My piano needs to be tuned
T,T,segregate,We do n't segregate in this county,This neighborhood is segregated
F,F,bank,he sat on the bank of the river and watched the currents,that bank holds the mortgage on my home
T,T,elaborate,elaborate a plan,Could you elaborate on the plot for your novel for me ?
T,T,girlfriend,his girlfriend kicked him out,Marc went to the park with his girlfriend and watched the sunset with her .
F,F,hand,Give me your hand .,hand the elderly lady into the taxi
F,F,round,we enjoyed our round of the local bars,Hospital rounds
F,F,divaricate,divaricate one 's fingers,The road divaricates here
T,T,marmalade,Thick cut marmalade,Lime marmalade
T,F,pump,pump the gas pedal,I 've pumped over 1000 gallons of water in the last ten minutes .
T,T,part,The first violin part in this concerto is very challenging .,he tried to sing the tenor part
T,F,line,that salesman must have practiced his fast line of talk,` let me show you my etchings ' is a rather worn line
T,T,yesterday,yesterday 's solutions are not good enough,Yesterday 's technology
F,F,pickup,his car has a lot of pickup,put out a pickup on that man
T,T,work,work equals force times distance,Work is done against friction to drag a bag along the ground .
F,F,sell,The French try to sell us their image as great lovers,The new idea sold well in certain circles
F,F,fantasy,a schoolgirl fantasy,she made a lot of money writing romantic fantasies
F,F,zap,zap the enemy,"If it 's not warm in the middle , zap it some more ."
F,T,moderate,moderate your alcohol intake,moderate your speed
F,F,mold,mold public opinion,The furniture molded in the old house
F,F,vegetation,Pleistocene vegetation,their holiday was spent in sleep and vegetation
F,F,harness,harness natural forces and resources,harness the horse
F,F,erupt,erupt in anger,Unrest erupted in the country
F,F,flare,the skirt had a wide flare,she could not control her flare of rage
T,F,definition,The definition of a telescope .,exercise had given his muscles superior definition
F,F,capacity,the capacity of a hard disk drive is usually expressed in megabytes,the plant is working at 80 per cent capacity
T,T,center,Convention center,they received messages from several centers
F,F,program,working mothers rely on the day care program,you ca n't tell the players without a program
F,F,baseline,The ref missed the call . The ball hit the baseline .,the established a baseline for the budget
T,T,pride,"I pride myself on being a good judge of character , but pride goes before the fall and I 'm not a good judge of my own character so I 'm often wrong without knowing it .",He prides himself on making it into law school
T,T,effect,the magnetic effect was greater when the rod was lengthwise,The effect of the hurricane was a devastated landscape .
T,T,celebrate,celebrate Christmas,To celebrate a birthday
T,F,hedge,To hedge a field or garden,hedge the property
F,F,grab,This story will grab you,Grab power
T,F,blood,the ancients believed that blood was the seat of the emotions,blood carries oxygen and nutrients to the tissues and carries away waste products
F,F,interest,He has a lot of interest in vintage cars .,how much interest do you pay on your mortgage ?
F,T,concord,Both philosophers concord on this point,Their ideas concorded
F,F,mound,they have a southpaw on the mound,they built small mounds to hide behind
