sample_id,content,gold_label,agg_human_label,agg_human_confidence,machine_1_pred,machine_1_confidence,confidence_diff
40,What might have been a predictably heartwarming tale is suffused with complexity .,1.0,-1.0,0.3593593593593593,-1.0,0.4806219719516518,0.12126261259229248
95,"The story is less vibrant , the jokes are a little lukewarm , but will anyone really care ?",0.0,-1.0,0.5745745745745746,-1.0,0.4536097205758582,0.12096485399871643
63,"Part comedy , part drama , the movie winds up accomplishing neither in full , and leaves us feeling touched and amused by several moments and ideas , but nevertheless dissatisfied with the movie as a whole .",0.0,-1.0,0.6816816816816816,-1.0,0.5673120458322046,0.11436963584947701
88,In a word -- yes .,0.0,1.0,0.3533533533533533,1.0,0.4550479280002746,0.10169457464692128
67,The average local news columnist has a bigger rant on the war between modern landscape architecture and small-town America .,0.0,-1.0,0.4164164164164164,-1.0,0.4892866468234793,0.07287023040706286
30,Several degrees shy of the gross-out contests one expects from current teen fare .,0.0,-1.0,0.4574574574574575,-1.0,0.5242604949373539,0.06680303747989647
41,"You wo n't believe much of it , but you will laugh at the audacity , at the who 's who casting and the sheer insanity of it all .",0.0,1.0,0.4934934934934935,1.0,0.4276164940591768,0.06587699943431669
55,It 's a worse sign when you begin to envy her condition .,0.0,-1.0,0.4224224224224224,-1.0,0.4596002406574597,0.0371778182350373
61,Morrissette 's script and direction show a fair amount of intelligence and wit -- but it does n't signify a whole lot either .,0.0,-1.0,0.4044044044044044,-1.0,0.4271875769021934,0.022783172497788995
33,"Still , it gets the job done -- a sleepy afternoon rental .",-1.0,1.0,0.4314314314314314,1.0,0.4507418083235379,0.019310376892106462
73,This ill-fitting Tuxedo is strictly off-the-rack .,0.0,-1.0,0.4644644644644645,-1.0,0.449595112834284,0.014869351630180494
54,"It 's a flashy , star-splashed reduction .",0.0,-1.0,0.4854854854854855,-1.0,0.4833924222942782,0.0020930631912072784
