sample_id,confidence,pred_label
0,0.3333333333333333,neutral
1,0.3333333333333333,contradiction
2,0.3333333333333333,entailment
3,0.3333333333333333,entailment
4,0.3333333333333333,contradiction
5,0.3333333333333333,entailment
6,0.3333333333333333,entailment
7,0.3333333333333333,neutral
8,0.3333333333333333,neutral
9,0.3333333333333333,entailment
10,0.3333333333333333,entailment
11,0.3333333333333333,contradiction
12,0.3333333333333333,contradiction
13,0.3333333333333333,entailment
14,0.3333333333333333,neutral
15,0.3333333333333333,contradiction
16,0.3333333333333333,entailment
17,0.3333333333333333,entailment
18,0.3333333333333333,contradiction
19,0.3333333333333333,neutral
20,0.3333333333333333,contradiction
21,0.3333333333333333,entailment
22,0.3333333333333333,contradiction
23,0.3333333333333333,neutral
24,0.3333333333333333,contradiction
25,0.3333333333333333,neutral
26,0.3333333333333333,entailment
27,0.3333333333333333,entailment
28,0.3333333333333333,neutral
29,0.3333333333333333,neutral
30,0.3333333333333333,contradiction
31,0.3333333333333333,contradiction
32,0.3333333333333333,neutral
33,0.3333333333333333,entailment
34,0.3333333333333333,neutral
35,0.3333333333333333,entailment
36,0.3333333333333333,neutral
37,0.3333333333333333,neutral
38,0.3333333333333333,neutral
39,0.3333333333333333,neutral
40,0.3333333333333333,contradiction
41,0.3333333333333333,contradiction
42,0.3333333333333333,contradiction
43,0.3333333333333333,entailment
44,0.3333333333333333,entailment
45,0.3333333333333333,entailment
46,0.3333333333333333,neutral
47,0.3333333333333333,neutral
48,0.3333333333333333,contradiction
49,0.3333333333333333,neutral
50,0.3333333333333333,entailment
51,0.3333333333333333,contradiction
52,0.3333333333333333,neutral
53,0.3333333333333333,contradiction
54,0.3333333333333333,entailment
55,0.3333333333333333,neutral
56,0.3333333333333333,entailment
57,0.3333333333333333,neutral
58,0.3333333333333333,contradiction
59,0.3333333333333333,neutral
60,0.3333333333333333,contradiction
61,0.3333333333333333,contradiction
62,0.3333333333333333,entailment
63,0.3333333333333333,contradiction
64,0.3333333333333333,neutral
65,0.3333333333333333,entailment
66,0.3333333333333333,neutral
67,0.3333333333333333,contradiction
68,0.3333333333333333,entailment
69,0.3333333333333333,neutral
70,0.3333333333333333,contradiction
71,0.3333333333333333,neutral
72,0.3333333333333333,contradiction
73,0.3333333333333333,neutral
74,0.3333333333333333,contradiction
75,0.3333333333333333,entailment
76,0.3333333333333333,neutral
77,0.3333333333333333,neutral
78,0.3333333333333333,neutral
79,0.3333333333333333,neutral
80,0.3333333333333333,contradiction
81,0.3333333333333333,neutral
82,0.3333333333333333,contradiction
83,0.3333333333333333,entailment
84,0.3333333333333333,contradiction
85,0.3333333333333333,entailment
86,0.3333333333333333,neutral
87,0.3333333333333333,neutral
88,0.3333333333333333,entailment
89,0.3333333333333333,contradiction
