sample id,word,sentence 1,sentence 2,label,,predicted,logit_false,logit_true,sm_false,sm_true,entropy,gold_label,check,
1,tune,To tune a piano or a violin,My piano needs to be tuned,1,wic pos:  sentence1: To tune a piano or a violin sentence2: My piano needs to be tuned word: tune,TRUE,-7.594063759,-5.539237022,0.1135655742,0.8864344258,0.5105780045,TRUE,TRUE,1
1,segregate,We do n't segregate in this county,This neighborhood is segregated,1,wic pos:  sentence1: We do n't segregate in this county sentence2: This neighborhood is segregated word: segregate,TRUE,-7.040035725,-6.611333847,0.3944363538,0.6055636462,0.9676028876,TRUE,TRUE,1
0,bank,he sat on the bank of the river and watched the currents,that bank holds the mortgage on my home,0,wic pos:  sentence1: he sat on the bank of the river and watched the currents sentence2: that bank holds the mortgage on my home word: bank,FALSE,-7.759903908,-9.320087433,0.8263796861,0.1736203139,0.6659198928,FALSE,TRUE,1
1,elaborate,elaborate a plan,Could you elaborate on the plot for your novel for me ?,1,wic pos:  sentence1: elaborate a plan sentence2: Could you elaborate on the plot for your novel for me ? word: elaborate,TRUE,-7.135751724,-6.933061123,0.4495001239,0.5504998761,0.9926290082,TRUE,TRUE,1
1,girlfriend,his girlfriend kicked him out,Marc went to the park with his girlfriend and watched the sunset with her .,1,wic pos:  sentence1: his girlfriend kicked him out sentence2: Marc went to the park with his girlfriend and watched the sunset with her . word: girlfriend,FALSE,-8.777667999,-9.459557533,0.6641602913,0.3358397087,0.9207818434,TRUE,FALSE,0
0,hand,Give me your hand .,hand the elderly lady into the taxi,0,wic pos:  sentence1: Give me your hand . sentence2: hand the elderly lady into the taxi word: hand,FALSE,-9.620453835,-11.77539635,0.8961297336,0.1038702664,0.4811453422,FALSE,TRUE,1
0,round,we enjoyed our round of the local bars,Hospital rounds,0,wic pos:  sentence1: we enjoyed our round of the local bars sentence2: Hospital rounds word: round,FALSE,-7.523887157,-8.537274361,0.7336825069,0.2663174931,0.8361306971,FALSE,TRUE,1
0,divaricate,divaricate one 's fingers,The road divaricates here,0,wic pos:  sentence1: divaricate one 's fingers sentence2: The road divaricates here word: divaricate,FALSE,-7.294942379,-8.731837273,0.8079733473,0.1920266527,0.7056918608,FALSE,TRUE,1
1,marmalade,Thick cut marmalade,Lime marmalade,1,wic pos:  sentence1: Thick cut marmalade sentence2: Lime marmalade word: marmalade,TRUE,-7.678922176,-6.443048,0.2251549615,0.7748450385,0.7694692231,TRUE,TRUE,1
1,pump,pump the gas pedal,I 've pumped over 1000 gallons of water in the last ten minutes .,1,wic pos:  sentence1: pump the gas pedal sentence2: I 've pumped over 1000 gallons of water in the last ten minutes . word: pump,FALSE,-8.273916245,-10.20997524,0.873918544,0.126081456,0.5465927796,TRUE,FALSE,0
