sample_id,sentence,domain,gold_label,agg_human_label,agg_human_confidence,machine_3_pred,machine_3_confidence,confidence_diff
126,Lora buttered at the toast.,in,0.0,0.0,0.6,0.0,0.999469803004128,0.39946980300412804
65,the putter of books left.,out,0.0,0.0,0.6,0.0,0.999402569732573,0.39940256973257304
82,John was promised by Bill to leave.,out,0.0,0.0,0.6,0.0,0.9992554074167396,0.3992554074167396
116,Here's a knife with which for you to cut up the onions.,in,0.0,0.0,0.6,0.0,0.9991248726974494,0.39912487269744945
197,I inquired when could we leave.,in,0.0,0.0,0.6,0.0,0.9991065129674608,0.3991065129674608
89,John believes it sincerely that Bill is here.,out,0.0,0.0,0.6,0.0,0.9990620494508644,0.39906204945086443
39,"Which book's, author did you meet who you liked?",out,0.0,0.0,0.6,0.0,0.9989760999437468,0.39897609994374683
32,"Mary arranged for, in St. Louis, John to rent a house cheap.",out,0.0,0.0,0.6,0.0,0.9989529129785883,0.39895291297858837
168,They realised that never had Sir Thomas been so offended.,in,1.0,1.0,0.6,1.0,0.99890403640726,0.39890403640726
6,Everyone relies on someone. It's unclear who.,out,1.0,1.0,0.6,1.0,0.9988092660868888,0.3988092660868888
119,"No writer, and no playwright, meets in Vienna.",in,0.0,0.0,0.6,0.0,0.9975413511404008,0.3975413511404008
198,The bookcase ran,in,0.0,0.0,0.8,0.0,0.999332057842746,0.199332057842746
66,The cat was bitten the mouse.,out,0.0,0.0,0.8,0.0,0.999236631614011,0.19923663161401095
107,They represented seriously to the dean Mary as a genuine linguist.,in,0.0,0.0,0.8,0.0,0.9990998366902888,0.19909983669028875
90,John believed it that Bill was tardy.,out,0.0,0.0,0.8,0.0,0.9990871417088684,0.19908714170886832
59,The storm arrived while we ate lunch.,out,1.0,1.0,0.8,1.0,0.9990463138479768,0.19904631384797677
20,John was believed to be telling the truth by Mary.,out,1.0,1.0,0.8,1.0,0.9988561129381504,0.1988561129381503
8,"Everybody gets on well with a certain relative, but often only his therapist knows which one.",out,1.0,1.0,0.8,1.0,0.998719320570738,0.19871932057073793
0,"If Sam was going, Sally would know where.",out,1.0,1.0,0.8,1.0,0.9987128249214008,0.19871282492140074
7,"The newspaper has reported that they are about to appoint someone, but I can't remember who the newspaper has reported that they are about to appoint.",out,1.0,1.0,0.8,1.0,0.9986602526638498,0.1986602526638498
124,We investigated the area for bombs.,in,1.0,1.0,0.8,1.0,0.9986074432083056,0.1986074432083056
184,Henry found that Bill is sad.,in,1.0,1.0,0.8,1.0,0.998514758364695,0.198514758364695
93,I gave Pete the book to impress.,out,0.0,0.0,0.8,0.0,0.992218873426091,0.192218873426091
145,The bed was slept in.,in,1.0,1.0,0.8,1.0,0.9779852997409592,0.1779852997409591
3,"She was bathing, but I couldn't make out who.",out,0.0,0.0,1.0,0.0,0.9924890006010868,0.0075109993989131985
14,"I think Agnes said that Bill would speak, but I don't remember what about.",out,1.0,1.0,1.0,1.0,0.9981833537030452,0.0018166462969547714
62,"Chris walks, Pat eats broccoli, and Sandy plays squash.",out,1.0,1.0,1.0,1.0,0.9984809025983096,0.001519097401690428
47,Max is on the phone now.,out,1.0,1.0,1.0,1.0,0.9986135219500352,0.0013864780499648344
109,"Mary will read Fred's story, and Joe will read Holly's.",in,1.0,1.0,1.0,1.0,0.9986254441684576,0.0013745558315424455
50,This is my favorite.,out,1.0,1.0,1.0,1.0,0.9986607298238326,0.0013392701761674175
84,I would prefer to leave.,out,1.0,1.0,1.0,1.0,0.9986749746223428,0.0013250253776572185
180,I gave money to the charity.,in,1.0,1.0,1.0,1.0,0.9986801031311082,0.001319896868891779
187,John convinced Bill that Mary should sleep.,in,1.0,1.0,1.0,1.0,0.9986812936583688,0.0013187063416312261
172,Emma made Harriet some food.,in,1.0,1.0,1.0,1.0,0.9986888032705906,0.0013111967294093807
147,Which topic did you choose without getting his approval?,in,1.0,1.0,1.0,1.0,0.9987003082318728,0.0012996917681271647
163,John thinks that Mary loves himself.,in,0.0,0.0,1.0,0.0,0.9987129448668184,0.0012870551331816138
189,The Peter we all like was at the party,in,1.0,1.0,1.0,1.0,0.998714376323108,0.0012856236768920004
18,The book was seen by Mary.,out,1.0,1.0,1.0,1.0,0.9987162840691318,0.001283715930868179
138,John is afraid of Bill.,in,1.0,1.0,1.0,1.0,0.9987397073366868,0.0012602926633131784
182,Each of the boys fought with some of the other boys.,in,1.0,1.0,1.0,1.0,0.9987513291390352,0.0012486708609648067
173,Emma and Harriet were attacked yesterday.,in,1.0,1.0,1.0,1.0,0.9987526398012644,0.0012473601987356142
106,The men will all leave.,in,1.0,1.0,1.0,1.0,0.9987547867222464,0.0012452132777536207
103,"The higher the stakes, the lower his expectations are.",in,1.0,1.0,1.0,1.0,0.9987608671598968,0.0012391328401032409
58,The book surprised many people.,out,1.0,1.0,1.0,1.0,0.998765934286134,0.0012340657138659727
185,John considers himself proud of Mary.,in,1.0,1.0,1.0,1.0,0.9987794014371554,0.0012205985628446214
171,Harriet admired Mr Knightley.,in,1.0,1.0,1.0,1.0,0.9987819065787916,0.0012180934212083772
134,John put old books in the box.,in,1.0,1.0,1.0,1.0,0.9987878671272395,0.001212132872760452
121,The farmer loaded the cart with apples.,in,1.0,1.0,1.0,1.0,0.9988028271838284,0.0011971728161715989
2,I served my guests.,out,1.0,1.0,1.0,1.0,0.9988098596794118,0.0011901403205881733
71,People are looking through the window.,out,1.0,1.0,1.0,1.0,0.9988116502474524,0.0011883497525475573
72,It never occurred to Pat that Chris knew the answer.,out,1.0,1.0,1.0,1.0,0.9988141516744816,0.0011858483255183794
137,This proved a decisive factor.,in,1.0,1.0,1.0,1.0,0.9988146888368766,0.0011853111631233704
127,Susan whispered the news.,in,1.0,1.0,1.0,1.0,0.9988179084213336,0.0011820915786664443
21,John was believed by Mary to be telling the truth.,out,1.0,1.0,1.0,1.0,0.9988185037169844,0.0011814962830155595
64,Protect yourself!,out,1.0,1.0,1.0,1.0,0.9988206506796656,0.0011793493203343663
42,The only people being added to our group who were at Harvard were students.,out,1.0,1.0,1.0,1.0,0.9988232720879032,0.0011767279120967755
100,The weights made the rope stretch over the pulley.,in,1.0,1.0,1.0,1.0,0.9988251790431149,0.0011748209568851475
148,To please John is easy.,in,1.0,1.0,1.0,1.0,0.998826730619353,0.0011732693806469907
157,They chased the man with the car.,in,1.0,1.0,1.0,1.0,0.9988320954320132,0.0011679045679867661
78,Of whom are you thinking?,out,1.0,1.0,1.0,1.0,0.9988355530950628,0.001164446904937222
159,The manager laughed.,in,1.0,1.0,1.0,1.0,0.9988384144633702,0.0011615855366298167
44,Those pictures of us offended us.,out,1.0,1.0,1.0,1.0,0.9988450280940592,0.001154971905940827
186,Everyone hopes that he will sleep.,in,1.0,1.0,1.0,1.0,0.9988452661188578,0.0011547338811421781
29,"Bill bought a red house, and Max bought one too.",out,1.0,1.0,1.0,1.0,0.9988499146556588,0.001150085344341245
110,Mary saw the boy walking toward the railroad station.,in,1.0,1.0,1.0,1.0,0.998855994873365,0.0011440051266350393
88,That he is here is clear.,out,1.0,1.0,1.0,1.0,0.9988576636634696,0.0011423363365303807
57,Newsweek appeared on the newsstands.,out,1.0,1.0,1.0,1.0,0.9988750089773992,0.0011249910226007742
80,John tried to leave.,out,1.0,1.0,1.0,1.0,0.998882400180374,0.0011175998196260029
178,I will fix the computer for Carol.,in,1.0,1.0,1.0,1.0,0.9988825201461572,0.0011174798538428066
79,John is sick.,out,1.0,1.0,1.0,1.0,0.998884190978346,0.0011158090216539795
99,John arranged for himself to get the prize.,out,1.0,1.0,1.0,1.0,0.9988845472804008,0.0011154527195992303
56,We relied on Leslie.,out,1.0,1.0,1.0,1.0,0.9988927738277424,0.0011072261722575583
131,A wonderful opportunity presented itself to him yesterday.,in,1.0,1.0,1.0,1.0,0.9988939045750024,0.0011060954249976218
68,The patient died.,out,1.0,1.0,1.0,1.0,0.9988998667907336,0.0011001332092663851
55,The guests dined.,out,1.0,1.0,1.0,1.0,0.9989043946143116,0.0010956053856884251
45,We admired the pictures of us in the album.,out,1.0,1.0,1.0,1.0,0.9989048717910548,0.0010951282089451952
77,John is sad.,out,1.0,1.0,1.0,1.0,0.998912620326198,0.0010873796738020136
74,We forgot our invitations.,out,1.0,1.0,1.0,1.0,0.9989163166094056,0.0010836833905943921
85,I would hate for John to leave.,out,1.0,1.0,1.0,1.0,0.9989165556501088,0.0010834443498911606
176,Ann bought a first edition of Richard III for $1000.,in,1.0,1.0,1.0,1.0,0.9989201909138528,0.0010798090861472431
51,Some people yell at the dogs.,out,1.0,1.0,1.0,1.0,0.9989206662001928,0.0010793337998071806
