sample_id,sentence_1,sentence_2,gold_label,agg_human_label,agg_human_confidence,machine_0_pred,machine_0_confidence,confidence_diff
73.0,A boy in a gray hoodie and black cap holds up an American flag.,A person is holding an American flag.,entailment,entailment,0.9795291709314228,neutral,0.3333333333333333,0.6461958375980894
82.0,Two gray dogs running in green grass.,Two gray dogs are running.,entailment,entailment,0.977482088024565,contradiction,0.3333333333333333,0.6441487546912317
7.0,A young girl in a white dress watches bubbles while a woman and girl toddler observe.,A girl is watching bubbles.,entailment,entailment,0.9723643807574208,neutral,0.3333333333333333,0.6390310474240875
81.0,Girls playing soccer competitively in the grass.,Nobody is playing soccer.,contradiction,contradiction,0.9631525076765608,neutral,0.3333333333333333,0.6298191743432275
55.0,A bunch of happy children having fun swimming and one boy is showing off his talent with a back flip.,Kids are having fun,entailment,entailment,0.9437052200614124,neutral,0.3333333333333333,0.6103718867280792
36.0,Two soccer players are playing soccer.,Two people play a game.,entailment,entailment,0.9385875127942682,neutral,0.3333333333333333,0.605254179460935
69.0,A group of people in blue pants and shirts in motion.,There are people moving.,entailment,entailment,0.9355168884339816,neutral,0.3333333333333333,0.6021835551006482
77.0,Many small sailboats sitting at a dock., Many small sailboats docked.,entailment,entailment,0.9119754350051176,neutral,0.3333333333333333,0.5786421016717842
29.0,A man prepares food in a shanty kitchen.,A man is fixing a meal.,entailment,entailment,0.8863868986693961,neutral,0.3333333333333333,0.5530535653360629
1.0,"People playing cricket in the park, pine trees in the back.","People are playing sports in the park, near the pine trees",entailment,entailment,0.8853633572159673,contradiction,0.3333333333333333,0.5520300238826339
72.0,A man sleeping on a chair with a newspaper on his chest.,the man is a farmer,neutral,neutral,0.8802456499488229,contradiction,0.3333333333333333,0.5469123166154897
64.0,A couple is back to back in formal attire.,Two people are facing away from each other.,entailment,entailment,0.8781985670419652,neutral,0.3333333333333333,0.5448652337086319
18.0,Five people standing by a gate.,Five fat people standing by a gate.,neutral,neutral,0.8751279426816786,contradiction,0.3333333333333333,0.5417946093483452
3.0,A group of dancers are performing.,The audience is silent.,neutral,neutral,0.8648925281473899,entailment,0.3333333333333333,0.5315591948140566
