sst_id,pred_label,agg_human_conf
13788,1,0.7887887887887888
13813,1,0.7187187187187187
14082,1,0.42342342342342343
14371,1,0.3073073073073073
14493,1,0.5485485485485485
14548,1,0.5815815815815816
14633,1,0.4364364364364364
14635,1,0.4014014014014014
18575,1,0.5625625625625625
18675,1,0.4874874874874875
18959,1,0.32932932932932935
19365,1,0.7527527527527528
24277,1,0.3843843843843844
24441,1,0.5485485485485485
24480,1,0.8298298298298298
24617,1,0.8238238238238238
24626,1,0.7107107107107107
24638,1,0.5815815815815816
24868,1,0.6346346346346347
25019,1,0.6546546546546547
25083,1,0.4934934934934935
25110,1,0.6086086086086087
25152,-1,0.5185185185185185
25257,1,0.6056056056056056
25296,-1,0.3943943943943944
25372,1,0.7297297297297297
25454,1,0.6456456456456456
25812,1,0.4094094094094094
26302,1,0.4494494494494494
26419,1,0.6826826826826827
26559,-1,0.4574574574574575
26591,1,0.8158158158158159
26620,1,0.7287287287287287
26650,1,0.4314314314314314
26707,1,0.4034034034034034
26771,1,0.5365365365365365
26811,1,0.4024024024024024
26929,1,0.46646646646646645
27092,1,0.4214214214214214
27137,1,0.5095095095095095
27204,-1,0.35935935935935936
27306,1,0.4934934934934935
32271,-1,0.5765765765765766
143103,-1,0.6046046046046046
143545,-1,0.42342342342342343
143603,-1,0.6496496496496497
143704,-1,0.4874874874874875
143936,-1,0.6126126126126126
143972,-1,0.5425425425425425
144655,1,0.43843843843843844
144659,-1,0.6066066066066066
145782,-1,0.5815815815815816
146095,1,0.6426426426426426
146138,-1,0.4744744744744745
146415,-1,0.4854854854854855
146434,-1,0.42242242242242245
146495,-1,0.4074074074074074
146607,-1,0.4444444444444444
147211,1,0.41541541541541543
147390,-1,0.7347347347347347
147407,-1,0.4194194194194194
147497,-1,0.4044044044044044
147947,-1,0.6106106106106106
148026,-1,0.6816816816816816
148116,-1,0.5835835835835835
148807,-1,0.6296296296296297
149110,-1,0.5645645645645646
149229,-1,0.4164164164164164
149771,-1,0.5225225225225225
149794,0,0.37237237237237236
149900,-1,0.9379379379379379
150053,-1,0.6156156156156156
150181,-1,0.5385385385385385
150208,-1,0.4644644644644645
150282,0,0.8028028028028028
150318,-1,0.5345345345345346
150510,-1,0.4214214214214214
150520,-1,0.6366366366366366
150863,0,0.5475475475475475
222110,-1,0.6696696696696697
222443,-1,0.4904904904904905
222459,1,0.3973973973973974
222573,-1,0.6186186186186187
222744,-1,0.7317317317317318
223018,-1,0.3933933933933934
223511,-1,0.4144144144144144
223573,1,0.34134134134134136
223837,1,0.9409409409409409
224007,1,0.3533533533533533
224195,-1,0.3953953953953954
225164,0,0.8868868868868869
225184,-1,0.5835835835835835
225332,0,0.6786786786786787
225600,-1,0.5015015015015015
226271,0,0.9259259259259259
226497,-1,0.5745745745745746
226877,-1,0.48348348348348347
227681,0,0.3733733733733734
230177,1,0.4934934934934935
