sample_id,sentence,domain,gold_label,agg_human_label,agg_human_confidence,machine_1_pred,machine_1_confidence,confidence_diff
25,"Bill ate the peaches, but Harry the grapes.",out,0.0,1.0,0.8,1.0,0.5148153045773506,0.28518469542264946
170,The idea dismayed the Prime Minister that the Dome was dull.,in,1.0,0.0,0.8,0.0,0.5880913239717483,0.2119086760282517
112,He attributed to a short circuit which was caused by an overloaded transducer the fire which destroyed most of my factory.,in,1.0,0.0,0.8,0.0,0.6033253812789917,0.19667461872100833
194,I might be not going to the party but washing my hair,in,1.0,0.0,0.8,0.0,0.6091051369905471,0.1908948630094529
105,"Most people probably consider, even though the courts didn't actually find, Klaus guilty of murder.",in,1.0,0.0,0.6,0.0,0.7461731004714965,0.14617310047149656
133,did the policeman meet in the park?,in,1.0,0.0,0.8,0.0,0.6586598211526871,0.14134017884731298
38,The book that I like - everyone else in the class hates.,out,0.0,1.0,0.8,1.0,0.912551007270813,0.11255100727081291
101,"The more you would want, the less you would eat.",in,0.0,1.0,0.8,1.0,0.9014344561100006,0.10143445611000057
152,1 gave Mary after the party a book.,in,1.0,0.0,0.8,0.0,0.8778088068962098,0.07780880689620973
111,A proof that the claim had been. made was giver that John had lied.,in,1.0,0.0,1.0,0.0,0.9286397528648376,0.07136024713516242
75,Advantage is taken of every opportunity for improvement.,out,1.0,0.0,0.8,0.0,0.735194776058197,0.06480522394180299
98,John bought a dog for himself to play with.,out,0.0,1.0,1.0,1.0,0.9460217148065568,0.053978285193443165
