sample_id,content,gold_label,agg_human_label,agg_human_confidence,machine_2_pred,machine_2_confidence,confidence_diff
44,"After seeing SWEPT AWAY , I feel sorry for Madonna .",-1.0,-1.0,0.4234234234234234,-1.0,0.96447027,0.5410468465765765
56,It 's hard not to feel you 've just watched a feature-length video game with some really heavy back story .,-1.0,-1.0,0.4074074074074074,-1.0,0.86809546,0.46068805259259266
84,Could The Country Bears really be as bad as its trailers ?,-1.0,-1.0,0.3933933933933934,-1.0,0.85129213,0.4578987366066066
49,"Credit must be given to Harland Williams , Michael Rosenbaum and Barry Watson , who inject far more good-natured spirit and talent into this project than it deserves",1.0,1.0,0.4384384384384384,1.0,0.85931706,0.4208786215615616
68,The problem with this film is that it 's forced to make its characters idiots in order to advance the plot .,-1.0,-1.0,0.5225225225225225,-1.0,0.93280274,0.41028021747747745
3,Perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1.0,1.0,0.3073073073073073,1.0,0.71753687,0.4102295626926927
9,An unabashedly schmaltzy and thoroughly enjoyable true story .,1.0,1.0,0.4874874874874875,1.0,0.89755553,0.4100680425125125
37,The way Coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining .,1.0,1.0,0.4664664664664664,1.0,0.8586557,0.39218923353353363
75,This time Kaufman 's imagination has failed him .,-1.0,-1.0,0.5345345345345346,-1.0,0.9241106,0.3895760654654654
57,All this turns out to be neither funny nor provocative - only dull .,-1.0,-1.0,0.4444444444444444,-1.0,0.81288356,0.36843911555555553
91,"Not ` terrible filmmaking ' bad , but more like , ' I once had a nightmare like this , and it 's now coming true ' bad .",-1.0,-1.0,0.5835835835835835,-1.0,0.9399733,0.3563897164164165
35,"The best thing the film does is to show us not only what that mind looks like , but how the creative process itself operates .",1.0,1.0,0.5365365365365365,1.0,0.8791521,0.34261556346346345
52,I loved looking at this movie .,1.0,1.0,0.6426426426426426,1.0,0.9655383,0.32289565735735737
79,A very bad sign .,-1.0,-1.0,0.6696696696696697,-1.0,0.9693766,0.29970693033033036
17,An incredibly clever and superbly paced caper filled with scams within scams within scams .,1.0,1.0,0.5815815815815816,1.0,0.8705764,0.28899481841841845
92,Only two words will tell you what you know when deciding to see it : Anthony .,0.0,0.0,0.6786786786786787,0.0,0.946365,0.2676863213213213
47,Aspires for the piquant but only really achieves a sort of ridiculous sourness .,-1.0,-1.0,0.6126126126126126,-1.0,0.87150323,0.2588906173873874
16,An excellent romp that boasts both a heart and a mind .,1.0,1.0,0.7107107107107107,1.0,0.96256095,0.2518502392892893
66,"The Irwins emerge unscathed , but the fictional footage is unconvincing and criminally badly acted .",-1.0,-1.0,0.5645645645645646,-1.0,0.8027398,0.2381752354354354
28,One scarcely needs the subtitles to enjoy this colorful action farce .,1.0,1.0,0.4494494494494494,1.0,0.6751857,0.22573625055055058
86,Happily for Mr. Chin -- though unhappily for his subjects -- the invisible hand of the marketplace wrote a script that no human screenwriter could have hoped to match .,1.0,1.0,0.3413413413413413,1.0,0.5598444,0.2185030586586587
