sample_id,content,gold_label,agg_human_label,agg_human_confidence,machine_2_pred,machine_2_confidence,confidence_diff
32,"Sound the trumpets : For the first time since Desperately Seeking Susan , Madonna does n't suck as an actress .",1.0,1.0,0.7287287287287287,-1.0,0.5688786,2.297607328728729
82,"Being author Wells ' great-grandson , you 'd think filmmaker Simon Wells would have more reverence for the material .",-1.0,-1.0,0.6186186186186187,1.0,0.64718896,2.2658075786186185
80,"As adapted by Kevin Molony from Simon Leys ' novel `` The Death of Napoleon '' and directed by Alan Taylor , Napoleon 's journey is interesting but his Parisian rebirth is stillborn",-1.0,-1.0,0.4904904904904905,1.0,0.7010545,2.1915449904904905
85,"Good for a few unintentional laughs , `` Extreme Ops '' was obviously made for the `` XXX '' crowd , people who enjoy mindless action without the benefit of decent acting , writing , and direction .",-1.0,-1.0,0.4144144144144144,1.0,0.7037952,2.1182096144144142
12,"A bowel-curdling , heart-stopping recipe for terror .",1.0,1.0,0.3843843843843844,-1.0,0.71796095,2.1023453343843848
98,"despite the long running time , the pace never feels slack -- there 's no scene that screams `` bathroom break ! ''",1.0,1.0,0.4934934934934935,-1.0,0.46553504,1.9590285334934934
89,It 's laughing at us .,-1.0,-1.0,0.3953953953953954,1.0,0.50537026,1.9007656553953955
31,Skip work to see it at the first opportunity .,1.0,1.0,0.8158158158158159,0.0,0.9316478,1.7474636158158159
59,"Maybe it 's asking too much , but if a movie is truly going to inspire me , I want a little more than this .",-1.0,-1.0,0.7347347347347347,0.0,0.5016449,1.2330898347347348
64,"Plays as hollow catharsis , with lots of tears but very little in the way of insights .",-1.0,-1.0,0.5835835835835835,0.0,0.4652194,1.1183641835835836
18,Both deeply weird and charmingly dear .,1.0,1.0,0.6346346346346347,0.0,0.4677984,1.1024330346346347
62,"Opens at a funeral , ends on the protagonist 's death bed and does n't get much livelier in the three hours in between .",-1.0,-1.0,0.6106106106106106,0.0,0.53647625,1.0741343606106106
45,"All ends well , sort of , but the frenzied comic moments never click .",-1.0,-1.0,0.6496496496496497,0.0,0.59746736,1.0521822896496498
42,has a plot full of twists upon knots ... and a nonstop parade of mock-Tarantino scuzbag types that starts out clever but veers into overkill .,-1.0,-1.0,0.5765765765765766,0.0,0.5350996,1.0414769765765763
8,"A deceivingly simple film , one that grows in power in retrospect .",1.0,1.0,0.5625625625625625,0.0,0.43423522,0.9967977825625625
51,"Helmer DeVito ... attempts to do too many things in this story about ethics , payola , vice , murder , kids ' TV and revenge .",-1.0,-1.0,0.5815815815815816,0.0,0.5950931,0.9864884815815814
81,"As if to prove a female director can make a movie with no soft edges , Kathryn Bigelow offers no sugar-coating or interludes of lightness .",1.0,1.0,0.3973973973973974,0.0,0.5154692,0.9128665973973973
34,"The 3D images only enhance the film 's otherworldly quality , giving it a strange combo of you-are-there closeness with the disorienting unreality of the seemingly broken-down fourth wall of the movie screen .",1.0,1.0,0.4034034034034034,0.0,0.49507508,0.8984784834034034
7,"With the film 's striking ending , one realizes that we have a long way to go before we fully understand all the sexual permutations involved .",1.0,1.0,0.4014014014014014,0.0,0.4912089,0.8926103014014014
46,An Afterschool Special without the courage of its convictions .,-1.0,-1.0,0.4874874874874875,0.0,0.6074368,0.8800506874874875
60,"Meandering , sub-aquatic mess : It 's so bad it 's good , but only if you slide in on a freebie .",-1.0,-1.0,0.4194194194194194,0.0,0.576339,0.8430804194194194
97,`` its successes are also tempered with elements which prove the direct antithesis of what it gets right . '',0.0,0.0,0.3733733733733734,1.0,0.42215538,0.7955287533733735
77,"Truth to tell , if you 've seen more than half-a-dozen horror films , there 's nothing here you have n't seen before .",-1.0,-1.0,0.6366366366366366,0.0,0.8548706,0.7817660366366365
48,Audiences can be expected to suspend their disbelief only so far -- and that does not include the 5 o'clock shadow on the tall wooden kid as he skips off to school .,-1.0,-1.0,0.5425425425425425,0.0,0.7630917,0.7794508425425425
22,Do we really need a 77-minute film to tell us exactly why a romantic relationship between a 15-year-old boy and a 40-year-old woman does n't work ?,-1.0,-1.0,0.5185185185185185,0.0,0.79646546,0.7220530585185186
93,Remember when Bond had more glamour than clamor ?,-1.0,-1.0,0.5015015015015015,0.0,0.93450326,0.5669982415015015
