response_id,sample_id,selectedmodel,participant_answ,avg_userstudy_accuracy,agg_userstudy_accuracy,agg_userstudy_label,gold_label,0,1,2,3,4,5
R_3lLUGeuaiLrsoxQ,19,2.0,0.24 contradiction | 0.54 neutral | 0.22 entailment,0.0,False,neutral,contradiction,0.0,0.0,1.0,0.0,0.0,0.0
R_3lLUGeuaiLrsoxQ,13,3.0,"0.99 contradiction | 0.01 neutral | 0.01 entailment
",1.0,True,contradiction,contradiction,0.0,0.0,0.0,1.0,0.0,0.0
R_3lLUGeuaiLrsoxQ,23,3.0,"0.01 contradiction | 0.69 neutral | 0.31 entailment
",0.0,False,neutral,entailment,0.0,0.0,0.0,1.0,0.0,0.0
R_3lLUGeuaiLrsoxQ,31,4.0,"0.95 contradiction | 0.05 neutral | 0.01 entailment
",1.0,True,contradiction,contradiction,0.0,0.0,0.0,0.0,1.0,0.0
R_3lLUGeuaiLrsoxQ,32,3.0,"0.99 contradiction | 0.01 neutral | 0.01 entailment
",1.0,True,contradiction,contradiction,0.0,0.0,0.0,1.0,0.0,0.0
R_3lLUGeuaiLrsoxQ,35,4.0,"0.99 contradiction | 0.01 neutral | 0.01 entailment
",1.0,True,contradiction,contradiction,0.0,0.0,0.0,0.0,1.0,0.0
R_3lLUGeuaiLrsoxQ,37,2.0,"0.26 contradiction | 0.35 neutral | 0.39 entailment
",0.0,False,entailment,neutral,0.0,0.0,1.0,0.0,0.0,0.0
R_3lLUGeuaiLrsoxQ,41,5.0,"0.04 contradiction | 0.41 neutral | 0.56 entailment
",0.0,False,entailment,neutral,0.0,0.0,0.0,0.0,0.0,1.0
R_3lLUGeuaiLrsoxQ,42,3.0,"0.99 contradiction | 0.01 neutral | 0.01 entailment
",1.0,True,contradiction,contradiction,0.0,0.0,0.0,1.0,0.0,0.0
R_3lLUGeuaiLrsoxQ,43,3.0,"0.99 contradiction | 0.01 neutral | 0.01 entailment
",1.0,True,contradiction,contradiction,0.0,0.0,0.0,1.0,0.0,0.0
R_3lLUGeuaiLrsoxQ,45,4.0,"0.01 contradiction | 0.01 neutral | 0.99 entailment
",1.0,True,entailment,entailment,0.0,0.0,0.0,0.0,1.0,0.0
R_3lLUGeuaiLrsoxQ,49,5.0,"0.05 contradiction | 0.8 neutral | 0.15 entailment
",1.0,True,neutral,neutral,0.0,0.0,0.0,0.0,0.0,1.0
