snli_id,sentence_1,sentence_2,label,Sample_ID,e,n,c,Prob_Pred,Prob_Gold,Entropy,pred_label,Match,Match_INT
152979089.jpg#4r1c,A police vehicle in an urban area.,A cop car in a suburban area,contradiction,152979089.jpg#4,0.280220827847253,0.252316945820492,0.467462226332254,0.467462226332254,0.467462226332254,1.52842566244637,contradiction,TRUE,1
168728234.jpg#2r1n,"A man on stilts in a purple, yellow and white costume.",A man is performing on stilts.,entailment,168728234.jpg#2,0.427812579640058,0.340728813167811,0.231458607192131,0.427812579640058,0.427812579640058,1.54195351637171,entailment,TRUE,1
1947351225.jpg#0r1c,A little boy is opening gifts surrounded by a group of children and adults.,The boy is being punished,contradiction,1947351225.jpg#0,0.231416600434579,0.516510349155313,0.252073050410109,0.516510349155313,0.252073050410109,1.48206617778098,neutral,FALSE,0
2175758177.jpg#1r1n,An infant napping in it's crib in pajamas.,A baby is sleeping in a crib with its blanket.,neutral,2175758177.jpg#1,0.340035065964827,0.418723193197926,0.241241740837246,0.418723193197926,0.418723193197926,1.54996028978984,neutral,TRUE,1
2178095150.jpg#2r1c,The dogs ran around the dirt racetrack.,Dogs are humping each other.,contradiction,2178095150.jpg#2,0.235415410828454,0.44844330463986,0.316141284531686,0.44844330463986,0.316141284531686,1.53531996689476,neutral,FALSE,0
218854747.jpg#3r1n,Two friends walk down the street with a stuffed animal.,Two friends are walking on the sidewalk.,entailment,218854747.jpg#3,0.357604328844574,0.347999784266916,0.294395886888511,0.357604328844574,0.357604328844574,1.5798420103742,entailment,TRUE,1
2258951972.jpg#4r1n,Two gray dogs running in green grass.,Two gray dogs are running.,entailment,2258951972.jpg#4,0.56784104045941,0.217983744640035,0.214175214900555,0.56784104045941,0.56784104045941,1.41881396033213,entailment,TRUE,1
248698033.jpg#2r1n,A man sleeping on a chair with a newspaper on his chest.,the man is a farmer,neutral,248698033.jpg#2,0.215202161679892,0.569767690575542,0.215030147744566,0.569767690575542,0.569767690575542,1.41614160104958,neutral,TRUE,1
2496713113.jpg#3r1c,Man sweeping trash outside a large statue.,A man is on vacation.,contradiction,2496713113.jpg#3,0.219838148941909,0.540013113941414,0.240148737116678,0.540013113941414,0.240148737116678,1.45471517007764,neutral,FALSE,0
2550027486.jpg#3r1n,Man and woman crossing the street at dusk.,A husband and a wife are enjoying a leisurely stroll in the evening.,neutral,2550027486.jpg#3,0.225981585538154,0.511629156450697,0.26238925801115,0.511629156450697,0.511629156450697,1.48602092296983,neutral,TRUE,1
26720379.jpg#4r1n,A young boy asleep in a stroller.,A young boy is taking his afternoon nap.,neutral,26720379.jpg#4,0.224351761238247,0.557890942322801,0.217757296438952,0.557890942322801,0.557890942322801,1.43234639533942,neutral,TRUE,1
2731171552.jpg#1r1c,A boy in a blue and white shirt is pointing up and a second boy in a white shirt shields his eyes.,Two boys puch each other on swings.,contradiction,2731171552.jpg#1,0.218981857479451,0.230407884404498,0.550610258116052,0.550610258116052,0.550610258116052,1.44177685233633,contradiction,TRUE,1
2760167.jpg#4r1c,Nine men wearing tuxedos sing.,Nine woman wearing dresses sing.,contradiction,2760167.jpg#4,0.212825160813152,0.213861715447256,0.573313123739592,0.573313123739592,0.573313123739592,1.41112057105765,contradiction,TRUE,1
2775461796.jpg#2r1c,A father and children ride bikes in city street.,A woman and her daughters ride their bikes.,contradiction,2775461796.jpg#2,0.214081844403873,0.218430944277046,0.567487211319081,0.567487211319081,0.567487211319081,1.41929946859217,contradiction,TRUE,1
2800531753.jpg#0r1n,A person wearing an orange shirt with a backpack on looking across a segment of lush green trees.,A person is meditating and looking at the peaceful lush green trees.,neutral,2800531753.jpg#0,0.222986762279053,0.548485871654456,0.22852736606649,0.548485871654456,0.548485871654456,1.44467120664052,neutral,TRUE,1
2849864963.jpg#0r1n,6 men in work jumpsuits and 1 man in an orange jumpsuit are walking next to green and red loading docks.,All 7 men are best friends.,neutral,2849864963.jpg#0,0.219989136508451,0.540363770628008,0.239647092863541,0.540363770628008,0.540363770628008,1.45432348264752,neutral,TRUE,1
2858757067.jpg#3r1e,Two people dressed in red and white wait at the horse track with a horse.,The people at the track are outdoors.,entailment,2858757067.jpg#3,0.52629575424515,0.251438173367257,0.222266072387593,0.52629575424515,0.52629575424515,1.47041144996865,entailment,TRUE,1
2895548671.jpg#2r1n,A group of people in dark clothing are crossing a crosswalk.,A group of people in dark clothing are crossing a crosswalk to get to the store,neutral,2895548671.jpg#2,0.214927892154914,0.570454185594652,0.214617922250433,0.570454185594652,0.570454185594652,1.4151753997337,neutral,TRUE,1
2908391335.jpg#4r1e,A couple is back to back in formal attire.,Two people are facing away from each other.,entailment,2908391335.jpg#4,0.43196333310279,0.266057564100917,0.301979102796293,0.43196333310279,0.43196333310279,1.55299899142566,entailment,TRUE,1
2916012955.jpg#4r1n,Five people standing by a gate.,Five fat people standing by a gate.,neutral,2916012955.jpg#4,0.219675376927072,0.56103716805394,0.219287455018988,0.56103716805394,0.56103716805394,1.42818610119706,neutral,TRUE,1
2959165388.jpg#4r1e,Eight people are sitting on a long boat on a sunny day.,Morning ride on boat,neutral,2959165388.jpg#4,0.462527778889723,0.293816056396648,0.243656164713629,0.462527778889723,0.293816056396648,1.53003515866346,entailment,FALSE,0
2965189317.jpg#2r1n,A man is popping balloons inside a cubicle using a handmade tool.,A man is popping balloons inside a cubicle using a handmade knife.,neutral,2965189317.jpg#2,0.384341649021393,0.382431823890161,0.233226527088446,0.384341649021393,0.382431823890161,1.55036364141217,entailment,FALSE,0
2970162432.jpg#0r1e,A young woman with glasses sits at the end of a row of seats and speaks into a microphone.,A young woman wearing glasses,entailment,2970162432.jpg#0,0.559830415090258,0.223872370231404,0.216297214678338,0.559830415090258,0.559830415090258,1.42972198092213,entailment,TRUE,1
2979997455.jpg#0r1n,Two men and one woman are dressed in costume hats.,the people are swingers,neutral,2979997455.jpg#0,0.222955856149719,0.558710930440361,0.21833321340992,0.558710930440361,0.558710930440361,1.43128529351187,neutral,TRUE,1
2983889345.jpg#4r1n,Two soccer players on the field running into each other.,There are two people colliding and falling.,neutral,2983889345.jpg#4,0.305909313782616,0.305461320841782,0.388629365375602,0.388629365375602,0.305461320841782,1.57527972894691,contradiction,FALSE,0
3011809448.jpg#3r1n,A boy in a gray hoodie and black cap holds up an American flag.,A person is holding an American flag.,entailment,3011809448.jpg#3,0.567314406156168,0.218330782399346,0.214354811444487,0.567314406156168,0.567314406156168,1.41954509028913,entailment,TRUE,1
3030015033.jpg#2r1n,Two people are sitting at a table outside of a building.,Two people are sitting eating lunch,neutral,3030015033.jpg#2,0.216254856792628,0.563989723102215,0.219755420105157,0.563989723102215,0.563989723102215,1.42414277591286,neutral,TRUE,1
3060969260.jpg#3r1n,One biker is running with their bike while another is riding around them.,The people are part of a club,neutral,3060969260.jpg#3,0.218173879394982,0.560184513226949,0.221641607378069,0.560184513226949,0.560184513226949,1.42931898907193,neutral,TRUE,1
3070485870.jpg#3r1n,A snowboarder is jumping over a snow slope.,A girl jumps her green snowboard over a slope.,neutral,3070485870.jpg#3,0.219301320909234,0.548592783301724,0.232105895789042,0.548592783301724,0.548592783301724,1.44432126057022,neutral,TRUE,1
