sstb_id,zuco_id,content,control_id,sstb_label,BERT_MC_DROPOUT
38,383,"cantet perfectly captures the hotel lobbies, two-lane highways, and roadside cafes that permeate vincent's days",,1,1.0370412821253654
81,359,gollum's `performance' is incredible!,,1,0.29505259740481155
86,206,"it's the best film of the year so far, the benchmark against which all other best picture contenders should be measured.",,1,0.3545537145956251
94,255,"the movie is a blast of educational energy, as bouncy animation and catchy songs escort you through the entire 85 minutes.",,1,0.5677937135305401
105,189,... a roller-coaster ride of a movie,25.0,1,0.44177321113250345
139,396,a classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done.,,1,1.1842706420321407
155,93,it is intensely personal and yet -- unlike quills -- deftly shows us the temper of the times.,,1,1.4187317522396685
219,299,it won't bust your gut -- and it's not intended to -- it's merely a blandly cinematic surgical examination of what makes a joke a joke.,,0,1.4209041510940421
252,347,remarkably accessible and affecting.,,1,0.4418325021513884
262,50,i like the new footage and still love the old stuff.,,1,0.2898037513939727
290,381,it's solid and affecting and exactly as thought-provoking as it should be.,41.0,1,0.7324139160969
342,178,this bold and lyrical first feature from raja amari expands the pat notion that middle-aged women just wanna have fun into a rousing treatise of sensual empowerment.,,1,0.8836637144328954
344,336,girls gone wild and gone civil again,,0,1.023419654237753
349,162,... always remains movingly genuine.,21.0,1,1.0473790732774033
371,69,an intriguing and entertaining introduction to johnson.,,1,0.20081362897296767
384,121,"celebrated at sundance, this slight comedy of manners has winning performances and a glossy, glib charm that's hard to beat.",,1,1.4484612752070918
406,308,"often gruelling and heartbreaking to witness, but seldahl and wollter's sterling performances raise this far above the level of the usual maudlin disease movie.",,1,1.3234223207931919
408,182,"the stunning, dreamlike visuals will impress even those viewers who have little patience for euro-film pretension.",24.0,1,0.9464741862851052
456,153,an inspiring and heart-affecting film about the desperate attempts of vietnamese refugees living in u.s. relocation camps to keep their hopes alive in 1975.,,1,1.0166195462139629
478,109,"only an epic documentary could get it all down, and spike lee's jim brown: all american at long last gives its subject a movie worthy of his talents.",14.0,1,1.222891066109893
677,312,ford deserves to be remembered at oscar time for crafting this wonderful portrait of a conflicted soldier.,,1,0.7448726832907036
726,18,a work of astonishing delicacy and force.,3.0,1,0.7908408081525931
768,363,"not as distinctive or even as humorous as its needs to be to stand out, but it has clearly been made with affection and care.",,0,1.346756410914305
793,342,"so young, so smart, such talent, such a wise ***.",,1,0.8326612274236243
840,225,"``13 conversations'' holds its goodwill close, but is relatively slow to come to the point.",,0,1.4094542341301999
882,17,the film often achieves a mesmerizing poetry.,2.0,1,1.1018507083285536
884,324,it's neither as romantic nor as thrilling as it should be.,38.0,-1,1.5519903594775801
904,386,a richly imagined and admirably mature work from a gifted director who definitely has something on his mind.,,1,0.31675418520827237
907,208,it never fails to engage us.,,1,1.4581456182771764
944,160,"there is a refreshing absence of cynicism in stuart little 2 -- quite a rarity, even in the family film market.",,1,1.3462910258610703
974,260,"... a cute and sometimes side-splittingly funny blend of legally blonde and drop dead gorgeous, starring piper perabo in what could be her breakthrough role.",,1,0.5437686831095855
984,80,"novak manages to capture a cruelly hilarious vein of black comedy in the situation with his cast of non-actors and a gritty, no-budget approach.",,1,1.5143545360760173
990,291,the way coppola professes his love for movies -- both colorful pop junk and the classics that unequivocally qualify as art -- is giddily entertaining.,,1,0.6381077454442314
999,360,"... a haunting vision, with images that seem more like disturbing hallucinations.",,-1,1.076578889680169
1029,230,genuinely touching because it's realistic about all kinds of love.,,1,0.5362389816851727
1059,194,"this is cool, slick stuff, ready to quench the thirst of an audience that misses the summer blockbusters.",,1,1.2761482456719757
1134,173,the film serves as a valuable time capsule to remind us of the devastating horror suffered by an entire people.,,0,1.367220282575169
1147,221,"not only is undercover brother as funny, if not more so, than both austin powers films, but it's also one of the smarter, savvier spoofs to come along in some time.",31.0,1,0.881711023414999
1151,286,"the inhospitability of the land emphasizes the spare precision of the narratives and helps to give them an atavistic power, as if they were tales that had been handed down since the beginning of time.",,0,1.1878616397821562
1175,9,"ultimately feels emp11111ty and unsatisfying, like swallowing a communion wafer without the wine.",,-1,0.6916897142424684
1183,60,one of the best films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals... a psychological masterpiece.,,1,0.6438787092852585
1211,40,"beautifully observed, miraculously unsentimental comedy-drama.",,1,1.005531308764885
1228,282,the second coming of harry potter is a film far superior to its predecessor.,,1,1.030005299895917
1301,375,"warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women, water, nature, and sexuality.",,1,0.5591688695810957
1330,185,"for the most part, it's a work of incendiary genius, steering clear of knee-jerk reactions and quick solutions.",,1,1.3827604629244816
1368,332,griffiths proves she's that rare luminary who continually raises the standard of her profession.,,1,0.9250454919529009
1371,384,"an important movie, a reminder of the power of film to move us and to make us examine our values.",,1,0.765280832572688
1381,103,"creepy, authentic and dark.",,0,1.2034618420766199
1389,139,and i've decided to leave a light on every night from now on.,,0,0.49985097840694503
1393,106,"the film is a contrivance, as artificial as the video games japanese teens play in a nightclub sequence, but it's an enjoyable one.",,0,0.9748480560071022
1465,84,but it's too long and too convoluted and it ends in a muddle.,12.0,-1,0.37203424620763453
1471,38,"the movie is for fans who can't stop loving anime, and the fanatical excess built into it.",,0,1.4724777924868286
1475,307,a strangely compelling and brilliantly acted psychological drama.,,1,0.4675286449951142
1489,159,"for those who pride themselves on sophisticated, discerning taste, this might not seem like the proper cup of tea, however it is almost guaranteed that even the stuffiest cinema goers will laugh their 1*** off for an hour-and-a-half.",,1,1.517760996441657
1523,262,few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands.,,1,1.2062352343044336
1527,198,"while it regards 1967 as the key turning point of the 20th century, and returns again and again to images of dissidents in the streets, it's alarmingly current.",,0,1.1459408686343466
1531,67,"stephen rea, aidan quinn, and alan bates play desmond's legal eagles, and when joined by brosnan, the sight of this grandiloquent quartet lolling in pretty irish settings is a pleasant enough thing, `tis.",,1,0.8682119331661263
1532,171,"director of photography benoit delhomme shot the movie in delicious colors, and the costumes and sets are grand.",,1,0.6151345179202911
1565,211,"more romantic, more emotional and ultimately more satisfying than the teary-eyed original.",,1,0.7962653129434569
1632,37,"featuring a dangerously seductive performance from the great daniel auteuil, ``sade'' covers the same period as kaufmann's ``quills'' with more unsettlingly realistic results.",,1,1.4966836626651654
1648,344,a thinly veiled look at different aspects of chinese life clashing with each other.,,0,1.1740135107433574
1656,226,"not the kind of film that will appeal to a mainstream american audience, but there is a certain charm about the film that makes it a suitable entry into the fest circuit.",,1,1.0360880682829583
