sample_id,sst_phrase_id,sst_sentence_id,content,five_way_labels,three_way_labels,average_accuracy,flesch_score_textstat,mean_grade_level_textstat,number_of_words,number_of_characters,gold_label,confidence,gold_confidence,entropy,pred_label
3,14371,8,Perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,4,1,0.421421421421421,69.11,8,19,108,2,0.407542831042593,0.407542831042593,1.56764400197701,1
1,13813,22,"A thoughtful , provocative , insistently humanizing film .",5,1,0.955955955955956,6.17,14,6,58,2,0.567883050560068,0.567883050560068,1.41876502224551,1
6,14633,23,"With a cast that includes some of the top actors working in independent film , Lovely & Amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",5,1,0.852852852852853,54.9,10,33,188,2,0.568169571455056,0.568169571455056,1.41836547138068,1
5,14548,40,"Though it is by no means his best work , Laissez-Passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",4,1,0.808808808808809,48.81,10,41,220,2,0.567418891563911,0.567418891563911,1.41940910044542,1
0,13788,65,"A pleasant enough movie , held together by skilled ensemble actors .",4,1,0.892892892892893,61.33,8,10,68,2,0.566401994387798,0.566401994387798,1.4208146211293,1
4,14493,79,"The appearance of Treebeard and Gollum 's expanded role will either have you loving what you 're seeing , or rolling your eyes .",5,1,0.904904904904905,66.07,12,22,128,2,0.437037146722164,0.437037146722164,1.55145500272435,1
87,223837,80,I loved it !,5,1,0.988988988988989,119.19,1,3,12,2,0.561372818046152,0.561372818046152,1.42770806955615,1
2,14082,121,"Hip-hop has a history , and it 's a metaphor for this love story .",3,0,0.408408408408408,92.12,4,14,66,1,0.480564474217926,0.277542641436266,1.51657901254928,1
7,14635,223,"With the film 's striking ending , one realizes that we have a long way to go before we fully understand all the sexual permutations involved .",5,1,0.493493493493493,46.1,13,25,143,2,0.41104723091881,0.41104723091881,1.56542779692731,1
9,18675,226,An unabashedly schmaltzy and thoroughly enjoyable true story .,4,1,0.934934934934935,37.98,12,8,62,2,0.567410064742034,0.567410064742034,1.41942166831735,1
97,227681,289,`` its successes are also tempered with elements which prove the direct antithesis of what it gets right . '',3,0,0.373373373373373,62.68,9,17,109,1,0.3358211674213,0.328595156209399,1.58488939044215,-1
11,19365,291,This is such a dazzlingly self-assured directorial debut that it 's hard to know what to praise first .,4,1,0.8998998998999,61.67,9,19,103,2,0.555185498167782,0.555185498167782,1.43592839126811,1
10,18959,386,"If no one singles out any of these performances as award-worthy , it 's only because we would expect nothing less from this bunch .",5,1,0.626626626626627,65.05,9,24,131,2,0.363817964018731,0.311461047496345,1.58178947550166,-1
8,18575,415,"A deceivingly simple film , one that grows in power in retrospect .",4,1,0.886886886886887,60.31,8,11,67,2,0.405765731120206,0.405765731120206,1.56787335522725,1
98,230177,421,"despite the long running time , the pace never feels slack -- there 's no scene that screams `` bathroom break ! ''",4,1,0.863863863863864,87.05,12,18,115,2,0.40939459851064,0.40939459851064,1.56671799428186,1
29,26419,475,"Ranging from funny to shattering and featuring some of the year 's best acting , Personal Velocity gathers plenty of dramatic momentum .",5,1,0.920920920920921,24.78,15,21,136,2,0.567359777002234,0.567359777002234,1.4194907316703,1
38,27092,490,Two generations within one family test boundaries in this intelligent and restrained coming-of-age drama .,5,1,0.6996996996997,31.89,12,16,106,2,0.566115330722045,0.566115330722045,1.42120982146453,1
81,222459,496,"As if to prove a female director can make a movie with no soft edges , Kathryn Bigelow offers no sugar-coating or interludes of lightness .",4,1,0.507507507507508,64.04,10,25,139,2,0.465766110294175,0.258441895648641,1.5304431525272,-1
36,26811,510,"The film delivers not just the full assault of Reno 's immense wit and insight , but a time travel back to what it felt like during those unforgettably uncertain days .",5,1,0.793793793793794,57.95,10,30,168,2,0.555615703334059,0.555615703334059,1.43533303390205,1
40,27204,511,What might have been a predictably heartwarming tale is suffused with complexity .,4,1,0.393393393393393,59.3,8,12,82,2,0.556275090098397,0.556275090098397,1.43449368987476,1
32,26620,512,"Sound the trumpets : For the first time since Desperately Seeking Susan , Madonna does n't suck as an actress .",4,1,0.815815815815816,70.13,11,19,111,2,0.387507903165209,0.387507903165209,1.57542698194675,1
28,26302,522,One scarcely needs the subtitles to enjoy this colorful action farce .,4,1,0.797797797797798,60.31,8,11,70,2,0.505113579146925,0.505113579146925,1.49460128949251,1
