sstb_id,zuco_id,content,control_id,sstb_label,BERT_MC_DROPOUT,BERT_SOFTMAX_ENTROPY,BERT_TEMPERATURE,TREE_LSTM_MC_DROPOUT
105,189,... a roller-coaster ride of a movie,25,1,0.43402977826873,0.42814448896054,1.461782535395,1.4083290205771
290,381,It's solid and affecting and exactly as thought-provoking as it should be.,41,1,0.69662467041765,0.4540194507655,1.4554432548842,0.84079937402605
349,162,... always remains movingly genuine.,21,1,0.92290662971545,0.78465141052202,1.5038962710771,0.20122616525286
408,182,"The stunning, dreamlike visuals will impress even those viewers who have little patience for Euro-film pretension.",24,1,1.0674612294447,1.0157081241557,1.5351766475986,1.0275319397748
478,109,"Only an epic documentary could get it all down, and Spike Lee's Jim Brown: All American at long last gives its subject a movie worthy of his talents.",14,1,1.2151628537107,1.1735635181374,1.5481345084452,1.2279232063209
726,18,A work of astonishing delicacy and force.,3,1,0.68449589493519,0.52577813694644,1.4795142906642,0.94392814589169
882,17,The film often achieves a mesmerizing poetry.,2,1,1.1100266775592,1.0264567818607,1.5232711485927,0.40672930953051
884,324,It's neither as romantic nor as thrilling as it should be.,38,-1,1.4941058147114,1.4125299718582,1.5724236182266,0.6945581566101
1147,221,"Not only is Undercover Brother as funny, if not more so, than both Austin Powers films, but it's also one of the smarter, savvier spoofs to come along in some time.",31,1,1.015774251485,0.84319138117065,1.5163959701417,0.45206270383132
1465,84,But it's too long and too convoluted and it ends in a muddle.,12,-1,0.3925329443553,0.29586315163833,1.4114363341814,1.5301324383557
1691,158,Allen's funniest and most likeable movie in years.,20,1,0.26286780711801,0.15532049869493,1.353467173951,1.3892796942469
1893,31,"Same song, second verse, coulda been better, but it coulda been worse.",6,0,1.3984623069656,1.3787941990303,1.5721560132218,0.84400956002046
1936,272,The Pianist is Polanski's best film.,35,1,0.60467586596036,0.60788003173292,1.4839259896242,0.78169228584034
2384,380,"But the talented cast alone will keep you watching, as will the fight scenes.",40,1,1.0546736314224,0.88578340060478,1.5079246207082,0.051096291165466
2456,268,"A work of extraordinary journalism, but it is also a work of deft and subtle poetry.",33,1,1.0697472228399,0.94484000713661,1.5311584449439,0.16091595485243
2742,199,A truly wonderful tale combined with stunning animation.,29,1,0.15647602862825,0.12819294424807,1.3406611737851,0.65806759745529
3229,401,"It's a head-turner -- thoughtfully written, beautifully read and, finally, deeply humanizing.",45,1,0.49445743049324,0.34426003699353,1.4319177480726,0.56825796279265
4010,190,"A colorful, vibrant introduction to a universal human impulse, lushly photographed and beautifully recorded.",26,1,0.33475096574251,0.2420036028416,1.3902043880018,1.3153409440626
4212,134,"A miraculous movie, I'm Going Home is so slight, yet overflows with wisdom and emotion.",17,1,1.3262479957469,1.1867447844474,1.5489571014643,1.5384878249301
4232,22,"There's not much to Fatale, outside of its stylish surprises... but that's OK.",4,0,1.3101800006421,1.2468244297779,1.5505776939834,1.5400859333451
4282,177,A small movie with a big impact.,23,1,1.1271073065123,1.0686269278522,1.4996866517319,1.4391084172704
4468,61,"A strong script, powerful direction and splendid production design allows us to be transported into the life of Wladyslaw Szpilman, who is not only a pianist, but a good human being.",10,1,0.44931920791308,0.35352345252563,1.4383360546115,0.085921608084446
4537,34,The soundtrack alone is worth the price of admission.,7,1,0.98984098756137,0.96441507245781,1.5285732017361,0.13222543439449
