sample_id,sentence,domain,gold_label,agg_human_label,agg_human_confidence,machine_2_pred,machine_2_confidence,confidence_diff
73,It loved Sandy.,out,0.0,1.0,1.0,0.0,0.9987144470214844,1.9987144470214844
75,Advantage is taken of every opportunity for improvement.,out,1.0,0.0,0.8,1.0,0.9993071556091307,1.7993071556091307
166,a tall building.,in,1.0,0.0,0.8,1.0,0.999298334121704,1.799298334121704
142,It tries to leave the country.,in,0.0,1.0,0.8,0.0,0.9980977177619934,1.7980977177619935
112,He attributed to a short circuit which was caused by an overloaded transducer the fire which destroyed most of my factory.,in,1.0,0.0,0.8,1.0,0.9932244420051576,1.7932244420051577
170,The idea dismayed the Prime Minister that the Dome was dull.,in,1.0,0.0,0.8,1.0,0.9908809661865234,1.7908809661865235
118,Everybody around here who ever buys anything on credit talks in his sleep.,in,1.0,0.0,0.6,1.0,0.9985740184783936,1.5985740184783936
102,"I demand that the more John eat, the more he pays.",in,0.0,1.0,0.6,0.0,0.9984068274497986,1.5984068274497987
12,"Meg is attracted to Harry, but they don't know who she is attracted to.",out,1.0,0.0,0.6,1.0,0.9130776524543762,1.5130776524543763
194,I might be not going to the party but washing my hair,in,1.0,0.0,0.8,1.0,0.5126667618751526,1.3126667618751526
105,"Most people probably consider, even though the courts didn't actually find, Klaus guilty of murder.",in,1.0,0.0,0.6,1.0,0.5374006628990173,1.1374006628990174
